nom_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,date_mise_en_service,date_maj
Vierzon - Parking Gaucherie,Parking Gaucherie - 18100 VIERZON,18279,"[47.222651,2.064954]",1,02/02/2016,7/13/2022
Vierzon - Parking Gaucherie,Parking Gaucherie - 18100 VIERZON,18279,"[47.222651,2.064954]",1,02/02/2016,7/13/2022
Vierzon - Place Fernand Micouraud,Place Fernand Micouraud - 18100 VIERZON,18279,"[47.221537,2.0691079]",1,02/02/2016,7/13/2022
Vierzon - Place Fernand Micouraud,Place Fernand Micouraud - 18100 VIERZON,18279,"[47.221537,2.0691079]",1,02/02/2016,7/13/2022
Vierzon - Place Ancienne Mairie des Forges,Place Ancienne Mairie des Forges - 18100 VIERZON,18279,"[47.2179487,2.0986401]",1,3/14/2017,7/13/2022
Vierzon - Place Ancienne Mairie des Forges,Place Ancienne Mairie des Forges - 18100 VIERZON,18279,"[47.2179487,2.0986401]",1,3/14/2017,7/13/2022
Vierzon - Gare,Place de la gare - 18100 VIERZON,18279,"[47.2260602,2.0600808]",1,02/01/2016,7/13/2022
Vierzon - Gare,Place de la gare - 18100 VIERZON,18279,"[47.2260602,2.0600808]",1,02/01/2016,7/13/2022
Vierzon - Parc d Activites,Parc d activites - route de Vieilfond - 18100 VIERZON,18279,"[47.2457138,2.0676642]",1,02/02/2016,7/13/2022
Vierzon - Parc d Activites,Parc d activites - route de Vieilfond - 18100 VIERZON,18279,"[47.2457138,2.0676642]",1,02/02/2016,7/13/2022
St Amand Montrond - Cour Manuel 1,4 Cour Manuel - 18200 ST AMAND MONTROND,18197,"[46.721011,2.505091]",1,08/04/2021,7/13/2022
St Amand Montrond - Cour Manuel 1,4 Cour Manuel - 18200 ST AMAND MONTROND,18197,"[46.721011,2.505091]",1,08/04/2021,7/13/2022
Orcenais ,27 route de Marçais - 18200 ORCENAIS ,18171,"[46.714819, 2.419985]",1,08/04/2021,7/13/2022
Orcenais ,27 route de Marçais - 18200 ORCENAIS ,18171,"[46.714819, 2.419985]",1,07/01/2022,7/13/2022
Thenioux,Route de Tours 18100 THENIOUX,18263,"47.254776, 1.935038",1,07/01/2022,7/13/2022
Thénioux,Route de Tours 18100 THENIOUX,18263,"47.254776, 1.935038",1,,7/13/2022
St Amand Montrond - Cour Manuel 2,18 Cour Manuel - 18200 ST AMAND MONTROND,18197,"46.720906761456256, 2.5072402113239076",1,,7/13/2022
St Amand Montrond - Cour Manuel 2,18 Cour Manuel - 18200 ST AMAND MONTROND,18197,"46.720906761456256, 2.5072402113239076",1,,7/13/2022
,,,,,,7/13/2022
