year,commune,nbre_pdc,total_bornes
2022,nanterre,1.0,1.0
2022,narbonne,1.0,1.0
2022,neufchâtel-en-bray,1.0,1.0
2022,nieppe,1.0,1.0
2022,niort-de-sault,1.0,1.0
2022,nogent-sur-oise,1.0,1.0
2022,noisiel,1.0,1.0
2022,noyal-pontivy,1.0,1.0
2022,noyales,1.0,1.0
2022,noyelles-lès-seclin,1.0,1.0
2022,nîmes,1.0,2.0
2022,olonne-sur-mer,1.0,1.0
2022,oloron-sainte-marie,1.0,1.0
2022,onet-le-château,1.0,1.0
2022,orthez,1.0,1.0
2022,outreau,1.0,1.0
2022,paimpol,1.0,1.0
2022,pamiers,1.0,1.0
2022,pantin,1.0,1.0
2022,perpignan,1.0,2.0
2022,persan,1.0,1.0
2022,pessac,1.0,1.0
2022,pithiviers,1.0,1.0
2022,ploumagoar,1.0,1.0
2022,ploërmel,1.0,1.0
2022,pluneret,1.0,1.0
2022,poitiers,1.0,1.0
2022,pont-audemer,1.0,1.0
2022,pontarlier,1.0,1.0
2022,pornic,1.0,1.0
2022,porto-vecchio,1.0,1.0
2022,pugnac,1.0,1.0
2022,péronne-en-mélantois,1.0,1.0
2022,pézenas,1.0,1.0
2022,quimper,1.0,1.0
2022,rillieux-la-pape,1.0,1.0
2022,rivery,1.0,1.0
2022,rochefort-montagne,1.0,1.0
2022,romorantin-lanthenay,1.0,1.0
2022,roubaix,1.0,1.0
2022,rozet-saint-albin,1.0,1.0
2022,rueil-malmaison,1.0,1.0
2022,sains-richaumont,1.0,1.0
2022,saint-alban-leysse,1.0,1.0
2022,saint-aventin,1.0,1.0
2022,saint-berthevin,1.0,1.0
2022,saint-brieuc,1.0,1.0
2022,saint-chamassy,1.0,1.0
2022,saint-chamond,1.0,1.0
2022,saint-cyr-le-chatoux,1.0,1.0
2022,saint-denis-lès-sens,1.0,1.0
2022,saint-dié-des-vosges,1.0,1.0
2022,saint-georges-des-coteaux,1.0,1.0
2022,saint-germain-en-laye,1.0,1.0
2022,saint-gély-du-fesc,1.0,1.0
2022,saint-herblain,1.0,2.0
2022,saint-jean-de-luz,1.0,1.0
2022,saint-jean-de-maurienne,1.0,1.0
2022,saint-junien-la-bregère,1.0,1.0
2022,saint-just,1.0,1.0
2022,saint-louis-et-parahou,1.0,1.0
2022,saint-loup,1.0,1.0
2022,saint-malo,1.0,1.0
2022,saint-marcel,1.0,1.0
2022,saint-maurice-de-beynost,1.0,1.0
